PCA_1,PCA_2,Cluster,Persona
0.8014380948601062,0.8011461676581405,2,The Motivated Finishers
-0.06706791306587728,1.1201845344820422,2,The Motivated Finishers
0.3786564447863309,1.978276461746515,2,The Motivated Finishers
-4.0043880678462065,2.1814067323808515,1,The Early Drop-Offs
0.8982834105669366,1.6564317450829604,2,The Motivated Finishers
-4.384744350556965,-0.12713886406894562,1,The Early Drop-Offs
0.23049691052877117,0.18703630206394478,0,The Strong Starters
1.0054652105853452,-0.7008369525487178,3,The Loyal Referrals
-1.7849756336770894,0.04287572057561097,1,The Early Drop-Offs
0.43824547614643466,-0.3536408058923779,3,The Loyal Referrals
-0.0328036720011179,-0.5261885733908859,0,The Strong Starters
0.5552614594610275,0.4488480429352107,2,The Motivated Finishers
0.6801860728765398,-0.7813845308926075,3,The Loyal Referrals
1.0740536877600946,-0.1673561966434144,0,The Strong Starters
0.25874696930664953,1.7420033938025674,2,The Motivated Finishers
0.5084445311370684,1.0073591029180522,2,The Motivated Finishers
-0.32815211248721216,0.87100487381423,0,The Strong Starters
-2.373538544887341,2.1413564594069907,1,The Early Drop-Offs
0.3326297121210963,0.7114816192336966,2,The Motivated Finishers
-3.3274375731735284,1.5361712481902756,1,The Early Drop-Offs
0.361978734270035,0.9088763250870069,0,The Strong Starters
0.8148177051039293,-0.11892453897224532,2,The Motivated Finishers
0.8844478465915954,0.8914266752555107,2,The Motivated Finishers
0.8304394171801598,0.03594546507769396,0,The Strong Starters
1.10538881647699,0.6297892979667199,2,The Motivated Finishers
0.17084394140904607,-0.5364989580086763,0,The Strong Starters
-3.6157844781027144,0.40779549894152073,1,The Early Drop-Offs
0.43993444268944093,0.49209935221262224,2,The Motivated Finishers
0.2208008616170278,-0.11251875715792599,0,The Strong Starters
0.16373192940736409,0.34015377483015885,0,The Strong Starters
0.23755096014199154,0.70681705764794,2,The Motivated Finishers
0.5640811688918546,0.16848650550930463,3,The Loyal Referrals
0.40516306673283264,0.7925117506674444,2,The Motivated Finishers
0.1331876600185191,-0.13301017391349512,2,The Motivated Finishers
0.7377828776492464,1.2861563633834412,2,The Motivated Finishers
0.746662935098134,-0.1269648416222282,2,The Motivated Finishers
0.3980550970232261,-1.3971351825498097,3,The Loyal Referrals
-3.281496775841601,0.2069330908010037,1,The Early Drop-Offs
0.6124280345365908,0.6886167795857141,2,The Motivated Finishers
-0.14862653169582724,-0.828937400466262,0,The Strong Starters
-0.007288224765623174,-0.1634577909911452,2,The Motivated Finishers
0.8478464347292277,-0.47139911683245905,2,The Motivated Finishers
-0.0767798843771807,0.1992699006796824,2,The Motivated Finishers
0.6913770499014575,1.650479551190064,2,The Motivated Finishers
0.13762238147311104,1.3793759523274325,2,The Motivated Finishers
0.5576718190547908,0.8509716593567414,2,The Motivated Finishers
0.5470914360042827,1.5055788342111167,2,The Motivated Finishers
0.07550469040014185,0.7926821744493617,2,The Motivated Finishers
0.34234146774298735,1.1940320397868083,2,The Motivated Finishers
0.5614630730647944,-1.210243101453297,3,The Loyal Referrals
0.9588131571571019,0.6565334650673326,2,The Motivated Finishers
1.0004454136654477,0.7358489767147777,3,The Loyal Referrals
0.5870623203069298,-0.8222179681979227,0,The Strong Starters
0.4061597243193628,0.3294376157257926,0,The Strong Starters
-4.520972908030705,-1.3373960754249847,1,The Early Drop-Offs
0.7912472006002885,0.13151879192561686,3,The Loyal Referrals
0.6002202236524096,1.7119740135900379,2,The Motivated Finishers
-3.5374156926161553,1.177178699902224,1,The Early Drop-Offs
-3.579625225668364,-0.9467979361548098,1,The Early Drop-Offs
-0.4925906836858412,-0.3646913701408596,0,The Strong Starters
0.32788903325368385,-0.2523246194769282,0,The Strong Starters
0.31215895420377526,1.619509415589596,2,The Motivated Finishers
0.5578693825798854,1.2054665063535022,2,The Motivated Finishers
0.6058359998440368,0.7217060122867511,2,The Motivated Finishers
0.9900636106169334,-0.17369574987056371,3,The Loyal Referrals
0.06522799254290745,-0.4028706736329698,2,The Motivated Finishers
-1.253595320185589,0.5545121803302978,2,The Motivated Finishers
0.08654540822509116,0.4603042879543563,2,The Motivated Finishers
-0.24793130216979092,-0.9003243504086207,0,The Strong Starters
0.8727218129584068,0.021742850228225686,0,The Strong Starters
0.16906329344634707,-0.02030850837631849,0,The Strong Starters
0.637613285978933,-1.2612248894129494,0,The Strong Starters
1.0017183619160328,0.6376657793501781,2,The Motivated Finishers
0.8689986925711387,1.1327914173237388,2,The Motivated Finishers
0.11897769333607994,-0.8701454782966456,0,The Strong Starters
0.8411072545174847,0.1542132077916821,3,The Loyal Referrals
0.6050427823046997,2.0779056003115035,2,The Motivated Finishers
0.9204933276923749,-0.20019744676903384,0,The Strong Starters
0.39379235154147646,0.43004737369560614,0,The Strong Starters
0.5659306249467944,0.11934535301325093,0,The Strong Starters
0.8671723325639357,-0.2150482896577175,2,The Motivated Finishers
0.3666977449810933,-0.36468467390955495,3,The Loyal Referrals
1.0478155864152894,-0.7258867057427616,3,The Loyal Referrals
0.45298194674348163,1.541613005620262,2,The Motivated Finishers
0.6045412702734672,0.19181114687941478,2,The Motivated Finishers
0.8012429923299229,1.062966364727632,2,The Motivated Finishers
0.27893375306085005,-0.8395688211925485,3,The Loyal Referrals
0.9236059286427339,-0.330692550089408,3,The Loyal Referrals
0.7878471383636164,-2.412194098294712,3,The Loyal Referrals
