Feature,Coefficient,Absolute_Impact
Days_To_First_Engagement,4.273047568994065,4.273047568994065
Daily_Schedule_Shift Work,1.300557193794298,1.300557193794298
Motivation_Level_Start_Low,0.8693489908771432,0.8693489908771432
Daily_Schedule_Flexible,-0.7891394928441158,0.7891394928441158
Daily_Schedule_Homemaker,-0.5400498282955908,0.5400498282955908
Health_Condition_PCOS,0.48770393992267275,0.48770393992267275
Motivation_Level_Start_Medium,-0.4846990298725157,0.4846990298725157
Health_Condition_Thyroid,-0.4418988398000652,0.4418988398000652
Exercise_History_Occasional,0.3776208181764258,0.3776208181764258
Health_Condition_No Condition,0.3507918019514977,0.3507918019514977
